Name,Image,tags
"Vivo V19 (Piano Black, 256 GB)",https://rukminim1.flixcart.com/image/312/312/k9stjm80/mobile/7/r/j/vivo-v19-vivo-1933-pd1969f-ex-original-imafrgnzfaq75awm.jpeg?q=70,"qualcomm snapdragon 712 aie processor vivo v19 (piano black, 256 gb)"
"Redmi Note 8 Pro (Halo White, 128 GB)",https://rukminim1.flixcart.com/image/312/312/k87nxjk0/mobile/m/f/k/redmi-note-8-pro-mzb8314in-original-imafqaf3mak86q8e.jpeg?q=70,"mediatek helio g90t processor redmi note 8 pro (halo white, 128 gb)"
"Realme 7 (Mist White, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g95 processor realm 7 (mist white, 64 gb)"
"Redmi Note 8 Pro (Shadow Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g90t processor redmi note 8 pro (shadow black, 128 gb)"
"OPPO A9 2020 (Marine Green, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon 665 processor oppo a9 2020 (marin green, 128 gb)"
"Realme 5 Pro (Crystal Green, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"qualcomm snapdragon sdm712 octa core 2.3 ghz processor realm 5 pro (crystal green, 64 gb)"
"Vivo Y30 (Emerald Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p35 processor vivo y30 (emerald black, 128 gb)"
"Vivo Y30 (Dazzle Blue, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio p35 processor vivo y30 (dazzl blue, 128 gb)"
"POCO M2 (Brick Red, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek helio g80 processor poco m2 (brick red, 128 gb)"
"Samsung Galaxy A21s (Blue, 64 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"exyno 850 octa core processor samsung galaxi a21 (blue, 64 gb)"
"Samsung Galaxy A31 (Prism Crush Black, 128 GB)",https://img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg,"mediatek (mt6768) octa core processor samsung galaxi a31 (prism crush black, 128 gb)"
